"","x"
"1",0
"2",-0.133636506948867
"3",-0.244263944427254
"4",-0.259598947331537
"5",0.109320247738351
"6",0.0345404479607095
"7",0.547273960255005
"8",0.910995745002206
"9",0.694141002094336
"10",0.399707177653408
"11",0.24993159676461
"12",0.154780055709268
"13",0.19123076921432
"14",0.220300958433601
"15",0.00561169116147608
"16",-0.278995939949599
"17",-0.56267061995917
"18",-0.48923723386171
"19",-0.438771789414927
"20",-0.762987766521857
"21",-0.891969720712335
"22",-0.620976740431957
"23",-0.782762615249489
"24",-0.940137295807264
"25",-1.22763046570922
"26",-1.32732523039204
"27",-1.42708179898635
"28",-1.61597866209618
"29",-1.64109044752738
"30",-1.79880370786305
"31",-2.17970749781206
"32",-2.54422992429483
"33",-2.54337345110177
"34",-2.11748332865598
"35",-1.84667029813487
"36",-1.69548482770273
"37",-1.63565519098973
"38",-1.73777470398053
"39",-1.99739911258889
"40",-2.3178434375704
"41",-2.76373512053649
"42",-2.95735920873252
"43",-2.77971190571065
"44",-2.7838198300341
"45",-2.87213739717744
"46",-2.82918391118954
"47",-2.53980338743364
"48",-2.32926445923632
"49",-2.13705781301958
"50",-2.14575272797232
"51",-2.09194323361118
"52",-1.83035114131418
"53",-1.84445361129561
"54",-1.88404775725458
"55",-2.05331099618878
"56",-1.90078092016326
"57",-1.69409365269255
"58",-1.51710755800769
"59",-1.39215589366846
"60",-1.32490111580129
"61",-0.808070521131887
"62",-0.305500208509498
"63",-0.263890617536053
"64",-0.400788945093383
"65",-0.445174702157469
"66",-0.545366708753846
"67",-0.819652256085336
"68",-1.01410304086258
"69",-1.18537988155621
"70",-1.1802409744078
"71",-1.19639054649536
"72",-1.11612956464507
"73",-1.01972306180529
"74",-0.950936087093726
"75",-0.778638926008964
"76",-0.823460017982618
"77",-0.737718021564889
"78",-0.624791524194639
"79",-0.579275836186937
"80",-0.688761424785156
"81",-0.650541095307915
"82",-0.591712463335115
"83",-0.569092973361239
"84",-0.490309600878899
"85",-0.431527841795299
"86",-0.368449822712203
"87",-0.293846266207373
"88",-0.258645951416379
"89",0.607210691504557
"90",1.74968580222254
"91",2.45746152842025
"92",2.54739356662103
"93",2.70950355293841
"94",3.08735478622622
"95",2.4014846931538
"96",1.80184458743317
"97",1.30742097958989
"98",0.896909679851642
"99",0.54927057021214
"100",0.300368410972455
"101",0.190954855051441
"102",0.242677748067948
"103",0.165193327554525
"104",0.131745055939909
"105",-0.0447654959172947
"106",-0.140990767291825
"107",-0.282525846358686
"108",-0.277964822989835
"109",-0.335071180402477
"110",-0.0412577483714753
"111",0.893566411821139
"112",1.16457421791488
"113",1.19993378920251
"114",1.90603887479716
"115",2.40138160572306
"116",2.99979909181195
"117",3.1606935555445
"118",3.1986228324202
"119",3.38705006389559
"120",3.51472779638669
"121",3.05163247779314
"122",3.20203174054712
"123",3.43496241145866
"124",4.38902183543042
"125",5.69222781453574
"126",7.18349796203797
"127",7.87568598218225
"128",8.99264099985178
"129",9.16033668324929
"130",9.70082048189284
"131",9.77031797185039
"132",10.0291151722797
"133",10.3258985777566
"134",10.6755735951695
"135",11.1804149385186
"136",11.3570678626241
"137",11.5883328568835
"138",11.7953661396572
"139",11.44075760559
"140",10.6156347002194
"141",10.0705618421232
"142",9.88440884897294
"143",9.91670971397925
"144",10.5299456399678
"145",11.7872333530854
"146",12.8803025368404
"147",13.7520200983037
"148",13.1593971346628
"149",13.3645027910888
"150",14.3638882151465
"151",14.7994264584585
"152",14.8530725701981
"153",14.9861074795413
"154",15.6566189575271
"155",15.7622475242636
"156",15.9591776827231
"157",15.9806231685184
"158",15.7267701135076
"159",15.9073807328657
"160",15.6453403519623
"161",16.7424888399434
"162",17.3242270034173
"163",17.4275755304548
"164",17.9586372595828
"165",17.88734594749
"166",17.6724406696368
"167",17.5221357052747
"168",17.1549891545196
"169",15.5226063208951
"170",15.0640656123137
"171",14.9625466160372
"172",15.0563004454914
"173",15.3490297253175
"174",14.3944940963442
"175",14.4598841087614
"176",14.9437011132582
"177",15.0886253328981
"178",15.0283874624229
